city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,houseAge,pricePerSqFt
austin,10203 Brantley Bnd,78748,30.17409896850586,-97.83895874023438,1.98,2,True,True,True,True,False,False,Single Family,2,1985,239900.0,3,2020-04-14,4,2020,14,0,3,2,1,0,0,0,0,7013.0,1645.0,1,0,1,1,1.7666666666666666,5.0,1450,15,2.0,3,1,40,145.83586626139817
austin,10325 Beard Ave,78748,30.171409606933604,-97.8357925415039,1.98,0,True,True,False,True,False,False,Single Family,0,2004,354995.0,3,2019-03-13,3,2019,40,0,5,1,0,0,0,0,0,6185.0,2168.0,1,0,1,1,1.7666666666666666,5.0,1450,15,3.0,3,2,21,163.7430811808118
austin,10613 Portico Ln,78748,30.16697692871093,-97.8345947265625,1.98,2,True,True,True,True,True,False,Single Family,2,2015,299000.0,3,2019-05-31,5,2019,1,0,7,2,0,0,0,0,0,6534.0,1792.0,1,0,1,1,1.8333333333333333,5.0,1450,15,3.0,3,2,10,166.85267857142858
austin,2617 Piping Rock Trl,78748,30.17953681945801,-97.83184814453124,1.98,0,False,True,False,True,False,False,Single Family,0,1984,289999.0,3,2018-06-16,6,2018,10,0,4,1,0,0,0,0,0,6446.0,1759.0,1,0,1,1,1.866666666666667,5.0,1450,15,2.0,3,2,41,164.8658328595793
austin,2904 Wadsworth Way,78748,30.17463302612305,-97.84232330322266,1.98,2,False,True,True,True,False,False,Single Family,2,1985,334900.0,3,2018-06-29,6,2018,25,0,4,2,0,0,0,0,0,14374.8,1636.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,3,1,40,204.70660146699265
austin,2900 Wadsworth Way,78748,30.174190521240234,-97.84219360351562,1.98,2,False,True,True,True,False,True,Single Family,2,1985,325000.0,1,2020-10-29,10,2020,36,0,3,2,1,0,0,0,0,9583.0,1505.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,3,1,40,215.9468438538206
austin,2905 Wadsworth Way,78748,30.17402267456055,-97.8427505493164,1.98,2,False,True,True,True,False,True,Single Family,2,1985,315000.0,2,2020-03-18,3,2020,24,0,2,2,1,1,0,0,0,8232.0,1758.0,1,0,1,1,1.8333333333333333,5.0,1450,15,3.0,3,2,40,179.18088737201364
austin,2512 Lynnbrook Dr,78748,30.167463302612305,-97.83706665039062,1.98,0,True,True,False,True,False,True,Single Family,0,2002,342500.0,4,2019-12-20,12,2019,7,0,3,1,0,0,0,0,0,7405.0,2086.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,23,164.18983700862896
austin,10219 Lindshire Ln,78748,30.17403221130371,-97.84095764160156,1.98,2,True,True,True,True,False,True,Single Family,2,1985,357500.0,10,2020-03-10,3,2020,19,0,3,2,1,0,0,0,0,9365.0,2487.0,1,0,1,1,1.8,5.0,1450,15,3.0,4,2,40,143.74748693204666
austin,2420 Lynnbrook Dr,78748,30.16692352294922,-97.83687591552734,1.98,2,True,True,True,True,False,False,Single Family,2,2002,368000.0,1,2020-05-22,5,2020,33,0,4,2,3,1,0,0,0,9060.0,1945.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,23,189.2030848329049
